questionId,topic,assetId,hasImage,isSample,screenshotPath
TX-SIG-0046,SIGNS,MUTCD_S1-1_SCHOOL_CROSSING,true,false,
TX-SIG-0047,SIGNS,MUTCD_W16-2_SLIPPERY_WHEN_WET,true,false,
TX-SIG-0048,SIGNS,MUTCD_W20-1_ROAD_CONSTRUCTION,true,false,
TX-SIG-0049,SIGNS,MUTCD_W20-7_FLAGGER_AHEAD,true,false,
TX-SIG-0061,SIGNS,MUTCD_I-5_INTERSTATE_35,true,false,
TX-SIG-0062,SIGNS,MUTCD_I-5_INTERSTATE_10,true,false,
TX-SIG-0063,SIGNS,MUTCD_M1-1_US_ROUTE_90,true,false,
TX-SIG-0064,SIGNS,MUTCD_M1-4_STATE_ROUTE_71,true,false,
TX-SIG-0065,SIGNS,MUTCD_D1-1_EXIT_SIGN,true,false,
TX-SIG-0066,SIGNS,MUTCD_D3-1_DISTANCE_SIGN,true,false,
TX-SIG-0067,SIGNS,MUTCD_D9-1_REST_AREA,true,false,
TX-SIG-0068,SIGNS,MUTCD_D9-2_HOSPITAL,true,false,
TX-SIG-0069,SIGNS,MUTCD_D9-3_GAS_STATION,true,false,
TX-SIG-0081,SIGNS,MUTCD_OM1-1_KEEP_RIGHT,true,false,
TX-SIG-0082,SIGNS,MUTCD_OM2-1_KEEP_LEFT,true,false,
TX-SPC-0001,SPECIAL_SITUATIONS,INTERSECTION_SCHOOL_BUS_STOPPED,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SPC-0001__INTERSECTION_SCHOOL_BUS_STOPPED.png
TX-SPC-0004,SPECIAL_SITUATIONS,MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SPC-0004__MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20.png
TX-SPC-0007,SPECIAL_SITUATIONS,MUTCD_S1-1_SCHOOL_CROSSING,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SPC-0007__MUTCD_S1-1_SCHOOL_CROSSING.png
TX-SPC-0012,SPECIAL_SITUATIONS,PAVEMENT_SCHOOL_ZONE,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SPC-0012__PAVEMENT_SCHOOL_ZONE.png
TX-SPC-0016,SPECIAL_SITUATIONS,SPECIAL_RAILROAD_STOP_PROCEDURE,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SPC-0016__SPECIAL_RAILROAD_STOP_PROCEDURE.png
TX-SPC-0017,SPECIAL_SITUATIONS,MUTCD_R15-1_RAILROAD_CROSSING,true,false,
TX-SPC-0020,SPECIAL_SITUATIONS,MUTCD_R15-1_RAILROAD_CROSSING,true,false,
TX-SPC-0027,SPECIAL_SITUATIONS,PAVEMENT_RAILROAD_CROSSING_X,true,false,
TX-SPC-0031,SPECIAL_SITUATIONS,MUTCD_W20-1_ROAD_CONSTRUCTION,true,false,
TX-SPC-0033,SPECIAL_SITUATIONS,SPECIAL_WORK_ZONE_FLAGGER,true,false,
TX-SPC-0034,SPECIAL_SITUATIONS,INTERSECTION_EMERGENCY_VEHICLE,true,false,
TX-SPC-0042,SPECIAL_SITUATIONS,MUTCD_W20-7_FLAGGER_AHEAD,true,false,
TX-SPD-0001,SPEED_AND_DISTANCE,SPEED_SCHOOL_ZONE_20MPH,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SPD-0001__SPEED_SCHOOL_ZONE_20MPH.png
TX-SPD-0002,SPEED_AND_DISTANCE,SPEED_LIMIT_RESIDENTIAL_30,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SPD-0002__SPEED_LIMIT_RESIDENTIAL_30.png
TX-SPD-0017,SPEED_AND_DISTANCE,MUTCD_R2-1_SPEED_LIMIT_70,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SPD-0017__MUTCD_R2-1_SPEED_LIMIT_70.png
TX-SPD-0022,SPEED_AND_DISTANCE,MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SPD-0022__MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20.png
TX-SPD-0030,SPEED_AND_DISTANCE,MUTCD_R2-1_SPEED_LIMIT_65,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-SPD-0030__MUTCD_R2-1_SPEED_LIMIT_65.png
TX-SPD-0031,SPEED_AND_DISTANCE,SPEED_FOLLOWING_DISTANCE_3SEC,true,false,
TX-SPD-0056,SPEED_AND_DISTANCE,SPEED_STOPPING_DISTANCE,true,false,
TX-SPD-0076,SPEED_AND_DISTANCE,SPEED_PASSING_CLEARANCE,true,false,
TX-SPD-0080,SPEED_AND_DISTANCE,MUTCD_R10-7_DO_NOT_PASS,true,false,
TX-TRA-0001,TRAFFIC_SIGNALS,SIGNAL_SOLID_RED,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-TRA-0001__SIGNAL_SOLID_RED.png
TX-TRA-0002,TRAFFIC_SIGNALS,SIGNAL_SOLID_GREEN,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-TRA-0002__SIGNAL_SOLID_GREEN.png
TX-TRA-0003,TRAFFIC_SIGNALS,SIGNAL_SOLID_YELLOW,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-TRA-0003__SIGNAL_SOLID_YELLOW.png
TX-TRA-0009,TRAFFIC_SIGNALS,SIGNAL_RED_YELLOW_TOGETHER,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-TRA-0009__SIGNAL_RED_YELLOW_TOGETHER.png
TX-TRA-0021,TRAFFIC_SIGNALS,SIGNAL_GREEN_ARROW_LEFT,true,true,dmv-android/docs/evidence/tx-image-question-sample/TX-TRA-0021__SIGNAL_GREEN_ARROW_LEFT.png
TX-TRA-0022,TRAFFIC_SIGNALS,SIGNAL_GREEN_ARROW_LEFT,true,false,
TX-TRA-0023,TRAFFIC_SIGNALS,SIGNAL_YELLOW_ARROW_LEFT,true,false,
TX-TRA-0024,TRAFFIC_SIGNALS,SIGNAL_RED_ARROW_LEFT,true,false,
TX-TRA-0028,TRAFFIC_SIGNALS,SIGNAL_RED_ARROW_LEFT,true,false,
TX-TRA-0035,TRAFFIC_SIGNALS,SIGNAL_GREEN_ARROW_RIGHT,true,false,
TX-TRA-0041,TRAFFIC_SIGNALS,SIGNAL_FLASHING_RED,true,false,
TX-TRA-0042,TRAFFIC_SIGNALS,SIGNAL_FLASHING_YELLOW,true,false,
TX-TRA-0051,TRAFFIC_SIGNALS,SIGNAL_PED_WALK,true,false,
TX-TRA-0052,TRAFFIC_SIGNALS,SIGNAL_PED_DONT_WALK,true,false,
TX-TRA-0055,TRAFFIC_SIGNALS,SIGNAL_PED_COUNTDOWN,true,false,
